Removed Member From Class: ClassName=Misc Member=M?
Removed Member From Class: ClassName=Power Supply Member=MD?
Add Net: Net with name "NetC?_1" already exists
Add Net: Net with name "NetC?_1" already exists
Add Net: Net with name "NetC?_1" already exists
Add Net: Net with name "NetC?_1" already exists
Add Net: Net with name "NetC?_1" already exists
Add Net: Net with name "NetC?_2" already exists
Add Net: Net with name "NetC?_2" already exists
Add Net: Net with name "NetC?_2" already exists
Add Net: Net with name "NetC?_2" already exists
Add Net: Net with name "NetC?_2" already exists
Add Net: Net with name "NetU?_2" already exists
Add Net: Net with name "NetU?_2" already exists
Add Net: Net with name "NetU?_2" already exists
Add Net: Net with name "NetU?_2" already exists
Added Member To Class: ClassName=Misc Member=Component C? 100n
Added Member To Class: ClassName=Misc Member=Component C? 100n
Added Member To Class: ClassName=Misc Member=Component C? 100n
Added Member To Class: ClassName=Misc Member=Component C? 100n
Added Member To Class: ClassName=Misc Member=Component C? 100n
Added Member To Class: ClassName=Power Supply Member=Component F? MICROSMD050F-2
Added Member To Class: ClassName=Power Supply Member=Component F? MICROSMD050F-2
Added Member To Class: ClassName=Display Member=Component IC? HV5222PG-G
Added Member To Class: ClassName=Display Member=Component N? IN14
Added Member To Class: ClassName=Display Member=Component N? IN14
Added Member To Class: ClassName=Display Member=Component N? IN14
Added Member To Class: ClassName=Display Member=Component N? IN14
Added Member To Class: ClassName=Display Member=Component N? IN14
Added Member To Class: ClassName=Misc Member=Component U? 1655
Added Member To Class: ClassName=Misc Member=Component U? 1655
Added Member To Class: ClassName=Misc Member=Component U? 1655
Added Member To Class: ClassName=Misc Member=Component U? 1655
Added Member To Class: ClassName=Misc Member=Component U? 1655
